i: 0	xname: book_minask
i: 100	xname: orders_Number_of_Executed-type_None-side_at-touch-5-ticks
i: 101	xname: orders_Number_of_None-type_Sell-side_at-touch-10-ticks
i: 102	xname: orders_Number_of_Executed-type_None-side_at-touch
i: 103	xname: orders_Number_of_Cancelled-type_None-side
i: 104	xname: orders_Volume_of_None-type_None-side_at-touch-50-ticks
i: 105	xname: orders_Number_of_None-type_Sell-side_at-touch
i: 106	xname: orders_Number_of_Executed-type_Buy-side_at-touch-10-ticks
i: 107	xname: orders_Volume_of_New-type_Sell-side
i: 108	xname: orders_Volume_of_New-type_Buy-side_at-touch-50-ticks
i: 109	xname: orders_Volume_of_Executed-type_None-side_at-touch
i: 110	xname: orders_Number_of_Executed-type_Buy-side_at-touch
i: 111	xname: orders_Number_of_New-type_None-side
i: 112	xname: orders_Volume_of_None-type_Buy-side_at-touch
i: 113	xname: orders_Volume_of_None-type_None-side_at-touch-10-ticks
i: 114	xname: orders_Number_of_None-type_Buy-side_at-touch-50-ticks
i: 115	xname: orders_Volume_of_None-type_None-side_at-touch-5-ticks
i: 116	xname: orders_Number_of_None-type_Sell-side_at-touch-5-ticks
i: 117	xname: orders_Volume_of_None-type_Sell-side_at-touch
i: 118	xname: orders_Number_of_New-type_None-side_at-touch-50-ticks
i: 119	xname: orders_Volume_of_Executed-type_None-side_at-touch-5-ticks
i: 120	xname: orders_Volume_of_None-type_None-side
i: 121	xname: orders_Volume_of_None-type_Sell-side_at-touch-10-ticks
i: 122	xname: orders_Volume_of_None-type_Buy-side_at-touch-50-ticks
i: 123	xname: orders_Number_of_None-type_Sell-side
i: 124	xname: orders_Number_of_None-type_Sell-side_at-touch-50-ticks
i: 125	xname: orders_Number_of_Executed-type_Buy-side
i: 126	xname: orders_Number_of_None-type_None-side_at-touch-10-ticks
i: 127	xname: orders_Number_of_None-type_Buy-side_at-touch-10-ticks
i: 128	xname: trades_max(price)
i: 129	xname: trades_count(*)
i: 130	xname: trades_sum(price_diff2)
i: 131	xname: trades_min(price_diff2)
i: 132	xname: trades_min(logreturn)
i: 133	xname: trades_vol-weighted-price
i: 134	xname: trades_max(logreturn)
i: 135	xname: trades_stddev(quantity)
i: 136	xname: trades_vol-weighted-logreturn
i: 137	xname: trades_stddev(logreturn)
i: 138	xname: trades_mean(quantity)
i: 139	xname: trades_max(price_diff2)
i: 140	xname: trades_stddev(price)
i: 141	xname: trades_min(quantity)
i: 142	xname: trades_stddev(price_diff2)
i: 143	xname: trades_mean(price)
i: 144	xname: trades_mean(logreturn)
i: 145	xname: trades_vol-weighted-price_diff2
i: 146	xname: trades_mean(price_diff2)
i: 147	xname: trades_min(price)
i: 148	xname: trades_max(quantity)
